name,gender,race,age,phone_no,dob_year,dob_month,dob_day,addhar_no,email,address,state,img_rgt_thumb,img_rgt_index,img_rgt_middle,img_rgt_ring,img_rgt_little,img_left_thumb,img_left_index,img_left_middle,img_left_ring,img_left_little
nitin,m,indian,39,8870420417,1983,3,1,5.46551E+11,nitin@gmail.com,"H.No. 688
Srinivas Path
Amaravati-140368",Kerala,100__M_Right_thumb_finger.BMP,100__M_Right_index_finger.BMP,100__M_Right_middle_finger.BMP,100__M_Right_ring_finger.BMP,100__M_Right_little_finger.BMP,100__M_Left_thumb_finger.BMP,100__M_Left_index_finger.BMP,100__M_Left_middle_finger.BMP,100__M_Left_ring_finger.BMP,100__M_Left_little_finger.BMP
tripti,m,indian,82,6685222304,1940,11,24,5.93117E+11,tripti@gmail.com,"H.No. 05
Bal Marg, Ahmednagar-439474",Punjab,101__M_Right_thumb_finger.BMP,101__M_Right_index_finger.BMP,101__M_Right_middle_finger.BMP,101__M_Right_ring_finger.BMP,101__M_Right_little_finger.BMP,101__M_Left_thumb_finger.BMP,101__M_Left_index_finger.BMP,101__M_Left_middle_finger.BMP,101__M_Left_ring_finger.BMP,101__M_Left_little_finger.BMP
somdutt,m,indian,22,1769586754,2000,1,2,6.16539E+11,somdutt@gmail.com,"26/342, Zachariah Circle
Solapur-535546",Arunachal Pradesh,102__M_Right_thumb_finger.BMP,102__M_Right_index_finger.BMP,102__M_Right_middle_finger.BMP,102__M_Right_ring_finger.BMP,102__M_Right_little_finger.BMP,102__M_Left_thumb_finger.BMP,102__M_Left_index_finger.BMP,102__M_Left_middle_finger.BMP,102__M_Left_ring_finger.BMP,102__M_Left_little_finger.BMP
bhagwati prasad,f,indian,96,9150944354,1926,7,19,2.55157E+11,bhagwatiprasad@gmail.com,"047, Krishnan Zila, Raurkela Industrial Township 944112",Karnataka,103__F_Right_thumb_finger.BMP,103__F_Right_index_finger.BMP,103__F_Right_middle_finger.BMP,103__F_Right_ring_finger.BMP,103__F_Right_little_finger.BMP,103__F_Left_thumb_finger.BMP,103__F_Left_index_finger.BMP,103__F_Left_middle_finger.BMP,103__F_Left_ring_finger.BMP,103__F_Left_little_finger.BMP
yognder,f,indian,9,8383788450,2013,4,24,8.94837E+11,yognder@gmail.com,"207
Behl Marg
Kollam 644605",Bihar,104__M_Right_thumb_finger.BMP,104__M_Right_index_finger.BMP,104__M_Right_middle_finger.BMP,104__M_Right_ring_finger.BMP,104__M_Right_little_finger.BMP,104__M_Left_thumb_finger.BMP,104__M_Left_index_finger.BMP,104__M_Left_middle_finger.BMP,104__M_Left_ring_finger.BMP,104__M_Left_little_finger.BMP
kuldeep,f,indian,36,8193161711,1986,10,26,7.9959E+11,kuldeep@gmail.com,"03/253
De Zila, Shivpuri-429818",Karnataka,105__M_Right_thumb_finger.BMP,105__M_Right_index_finger.BMP,105__M_Right_middle_finger.BMP,105__M_Right_ring_finger.BMP,105__M_Right_little_finger.BMP,105__M_Left_thumb_finger.BMP,105__M_Left_index_finger.BMP,105__M_Left_middle_finger.BMP,105__M_Left_ring_finger.BMP,105__M_Left_little_finger.BMP
amit,f,indian,19,9316555765,2003,7,26,8.4052E+11,amit@gmail.com,"32
Behl Chowk
Hajipur 190871",Tamil Nadu,106__M_Right_thumb_finger.BMP,106__M_Right_index_finger.BMP,106__M_Right_middle_finger.BMP,106__M_Right_ring_finger.BMP,106__M_Right_little_finger.BMP,106__M_Left_thumb_finger.BMP,106__M_Left_index_finger.BMP,106__M_Left_middle_finger.BMP,106__M_Left_ring_finger.BMP,106__M_Left_little_finger.BMP
shivam,m,indian,77,8636630194,1945,11,27,8.20937E+11,shivam@gmail.com,"56
Raval Street, Gaya 361606",Haryana,107__M_Right_thumb_finger.BMP,107__M_Right_index_finger.BMP,107__M_Right_middle_finger.BMP,107__M_Right_ring_finger.BMP,107__M_Right_little_finger.BMP,107__M_Left_thumb_finger.BMP,107__M_Left_index_finger.BMP,107__M_Left_middle_finger.BMP,107__M_Left_ring_finger.BMP,107__M_Left_little_finger.BMP
sandeep kumar,m,indian,76,7218154220,1946,11,23,9.55562E+11,sandeepkumar@gmail.com,"84/54, Gandhi Path
Srinagar-401648",Himachal Pradesh,108__M_Right_thumb_finger.BMP,108__M_Right_index_finger.BMP,108__M_Right_middle_finger.BMP,108__M_Right_ring_finger.BMP,108__M_Right_little_finger.BMP,108__M_Left_thumb_finger.BMP,108__M_Left_index_finger.BMP,108__M_Left_middle_finger.BMP,108__M_Left_ring_finger.BMP,108__M_Left_little_finger.BMP
gurdeep kaur,m,indian,17,9206040110,2005,1,4,4.45113E+11,gurdeepkaur@gmail.com,"H.No. 48, Ben Zila
Siwan-709274",Maharashtra,109__F_Right_thumb_finger.BMP,109__F_Right_index_finger.BMP,109__F_Right_middle_finger.BMP,109__F_Right_ring_finger.BMP,109__F_Right_little_finger.BMP,109__F_Left_thumb_finger.BMP,109__F_Left_index_finger.BMP,109__F_Left_middle_finger.BMP,109__F_Left_ring_finger.BMP,109__F_Left_little_finger.BMP
karan,f,indian,88,3743958243,1934,3,28,4.95653E+11,karan@gmail.com,"65, Singhal Path, Vijayanagaram 533452",Uttar Pradesh,10__M_Right_thumb_finger.BMP,10__M_Right_index_finger.BMP,10__M_Right_middle_finger.BMP,10__M_Right_ring_finger.BMP,10__M_Right_little_finger.BMP,10__M_Left_thumb_finger.BMP,10__M_Left_index_finger.BMP,10__M_Left_middle_finger.BMP,10__M_Left_ring_finger.BMP,10__M_Left_little_finger.BMP
neha,m,indian,34,9343307962,1988,8,3,4.29635E+11,neha@gmail.com,"H.No. 074
Dar Marg
Tiruvottiyur-659719",Jharkhand,110__F_Right_thumb_finger.BMP,110__F_Right_index_finger.BMP,110__F_Right_middle_finger.BMP,110__F_Right_ring_finger.BMP,110__F_Right_little_finger.BMP,110__F_Left_thumb_finger.BMP,110__F_Left_index_finger.BMP,110__F_Left_middle_finger.BMP,110__F_Left_ring_finger.BMP,110__F_Left_little_finger.BMP
